date,pid,price,regular,promo,label,until
2026-09-16,307561,0.49,0.49,0,,
2026-09-16,309002,2.69,2.69,0,,
2026-09-16,309165,2.95,2.95,0,,
2026-09-16,309956,9.99,9.99,0,,
2026-09-16,318319,1.95,1.95,0,,
2026-09-16,318593,2.39,2.39,0,,
2026-09-16,318954,8.95,8.95,0,,
2026-09-16,319370,3.29,3.29,0,,
2026-09-16,319372,1.29,1.29,0,,
2026-09-16,319375,1.29,1.29,0,,
2026-09-16,319397,0.99,0.99,0,,
2026-09-16,319555,1.95,1.95,0,,
2026-09-16,319597,4.89,4.89,0,,
2026-09-16,319612,1.85,1.85,0,,
2026-09-16,319710,4.35,4.35,0,,
2026-09-16,321335,15.69,15.69,0,,
2026-09-16,329372,0.98,0.98,0,,
2026-09-16,330510,7.85,7.85,0,,
2026-09-16,330921,3.99,3.99,0,,
2026-09-16,331161,2.29,2.29,0,,
2026-09-16,332136,1.99,1.99,0,,
2026-09-16,332448,6.99,6.99,0,,
2026-09-16,333042,6.49,6.49,0,,
2026-09-16,333254,1.99,1.99,0,,
2026-09-16,334052,1.69,1.69,0,,
2026-09-16,334599,3.55,3.55,0,,
2026-09-16,334957,4.95,4.95,0,,
2026-09-16,335175,4.99,4.99,0,,
2026-09-16,341240,9.64,9.64,0,,
2026-09-16,341593,5.49,5.49,0,,
2026-09-16,358243,4.29,4.29,0,,
2026-09-16,358287,0.99,0.99,0,,
2026-09-16,381376,9.99,9.99,0,,
2026-09-16,397899,2.59,2.59,0,,
2026-09-16,415711,1.99,1.99,0,,
2026-09-16,443598,9.49,9.49,0,,
2026-09-16,443627,10.99,10.99,0,,
2026-09-16,444402,6.99,6.99,0,,
2026-09-16,444550,5.19,5.19,0,,
2026-09-16,445523,1.79,1.79,0,,
2026-09-16,447046,8.99,8.99,0,,
2026-09-16,447082,2.25,2.25,0,,
2026-09-16,450902,5.99,5.99,0,,
2026-09-16,453474,36.90,36.90,0,,
2026-09-16,454824,3.85,3.85,0,,
2026-09-16,455331,4.79,4.79,0,,
2026-09-16,455630,3.99,3.99,0,,
2026-09-16,455636,6.29,6.29,0,,
2026-09-16,455645,6.79,6.79,0,,
2026-09-16,456728,26.90,26.90,0,,
2026-09-16,457457,7.99,7.99,0,,
2026-09-16,463607,2.09,2.09,0,,
2026-09-16,464699,23.20,23.20,0,,
2026-09-16,466419,0.99,0.99,0,,
2026-09-16,466581,3.99,3.99,0,,
2026-09-16,466805,2.59,2.59,0,,
2026-09-16,471036,4.45,4.45,0,,
2026-09-16,474105,8.99,8.99,0,,
2026-09-16,474483,7.95,7.95,0,,
2026-09-16,475232,3.29,3.29,0,,
2026-09-16,475322,3.29,3.29,0,,
2026-09-16,478134,7.49,7.49,0,,
2026-09-16,478138,13.99,13.99,0,,
2026-09-16,478162,0.89,0.89,0,,
2026-09-16,478208,12.49,12.49,0,,
2026-09-16,479352,12.99,12.99,0,,
2026-09-16,480085,0.99,0.99,0,,
2026-09-16,480159,0.99,0.99,0,,
2026-09-16,480646,11.59,11.59,0,,
2026-09-16,481476,1.79,1.79,0,,
2026-09-16,482145,2.89,2.89,0,,
2026-09-16,482498,6.99,6.99,0,,
2026-09-16,483800,9.99,9.99,0,,
2026-09-16,483875,0.79,0.79,0,,
2026-09-16,484618,14.48,14.48,0,,
2026-09-16,485333,1.19,1.19,0,,
2026-09-16,485994,2.99,2.99,0,,
2026-09-16,486131,1.65,1.65,0,,
2026-09-16,486865,3.85,3.85,0,,
2026-09-16,487280,8.89,8.89,0,,
2026-09-16,487506,1.35,1.35,0,,
2026-09-16,487613,3.15,3.15,0,,
2026-09-16,488092,3.29,3.29,0,,
2026-09-16,488688,2.99,2.99,0,,
2026-09-16,488799,1.79,1.79,0,,
2026-09-16,489000,1.35,1.35,0,,
2026-09-16,489055,1.99,1.99,0,,
2026-09-16,490297,2.79,2.79,0,,
2026-09-16,490764,3.75,3.75,0,,
2026-09-16,492669,1.95,1.95,0,,
2026-09-16,496381,5.89,5.89,0,,
2026-09-16,497040,3.55,3.55,0,,
2026-09-16,497624,0.99,0.99,0,,
2026-09-16,497695,0.95,0.95,0,,
2026-09-16,497871,3.29,3.29,0,,
2026-09-16,498288,2.69,2.69,0,,
2026-09-16,498448,6.39,6.39,0,,
2026-09-16,498514,5.99,5.99,0,,
2026-09-16,501461,3.15,3.15,0,,
2026-09-16,501739,6.49,6.49,0,,
2026-09-16,501888,2.49,2.49,0,,
2026-09-16,502106,3.49,3.49,0,,
2026-09-16,504110,1.59,1.59,0,,
2026-09-16,506639,2.29,2.29,0,,
2026-09-16,507488,1.75,1.75,0,,
2026-09-16,507626,1.38,1.38,0,,
2026-09-16,509833,1.99,1.99,0,,
2026-09-16,510694,4.39,4.39,0,,
2026-09-16,510949,1.99,1.99,0,,
2026-09-16,511106,3.95,3.95,0,,
2026-09-16,511918,1.55,1.55,0,,
2026-09-16,513049,1.15,1.15,0,,
2026-09-16,514032,9.45,9.45,0,,
2026-09-16,514191,3.59,3.59,0,,
2026-09-16,519217,1.79,1.79,0,,
2026-09-16,519613,2.59,2.59,0,,
2026-09-16,520406,2.59,2.59,0,,
2026-09-16,521952,3.49,3.49,0,,
2026-09-16,522422,2.49,2.49,0,,
2026-09-16,522663,6.49,6.49,0,,
2026-09-16,522684,6.99,6.99,0,,
2026-09-16,524984,0.69,0.69,0,,
2026-09-16,525709,1.85,1.85,0,,
2026-09-16,527094,4.99,4.99,0,,
2026-09-16,527234,1.35,1.35,0,,
2026-09-16,528455,0.79,0.79,0,,
2026-09-16,530654,1.19,1.19,0,,
2026-09-16,530945,32.70,32.70,0,,
2026-09-16,535101,2.75,2.75,0,,
2026-09-16,535597,1.62,1.62,0,,
2026-09-16,536720,2.95,2.95,0,,
2026-09-16,537053,1.65,1.65,0,,
2026-09-16,540954,5.49,5.49,0,,
2026-09-16,541074,2.69,2.69,0,,
2026-09-16,543522,4.45,4.45,0,,
2026-09-16,543724,2.89,2.89,0,,
2026-09-16,544297,1.99,1.99,0,,
2026-09-16,544617,1.25,1.25,0,,
2026-09-16,545952,4.39,4.39,0,,
2026-09-16,547811,9.99,9.99,0,,
2026-09-16,548037,13.99,13.99,0,,
2026-09-16,548127,4.79,4.79,0,,
2026-09-16,548370,1.49,1.49,0,,
2026-09-16,550101,6.09,6.09,0,,
2026-09-16,550236,3.95,3.95,0,,
2026-09-16,550241,3.95,3.95,0,,
2026-09-16,550273,3.95,3.95,0,,
2026-09-16,550280,3.95,3.95,0,,
2026-09-16,550664,0.45,0.45,0,,
2026-09-16,550694,0.45,0.45,0,,
2026-09-16,550726,8.99,8.99,0,,
